"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PROD_ID";"TP_SIGNAL_NAME";"VALUE";
"+5V";"TPTP13SQ";"TPTP13SQ";"TP13SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"5V";"TPTP13SQ";"TPTP13SQ";"TP13SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"ADJ+";"TPTP13SQ";"TPTP13SQ";"TP13SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"ADJ-";"TPTP13SQ";"TPTP13SQ";"TP13SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"1uF";"SEEED-CAPACITOR_CERAMIC-10UF-25V-10%-X5R(0805)CAP_0603_GEN";"CAPC1609X80";"302010178";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"1uF";"SEEED-CAPACITOR_CERAMIC-10UF-25V-10%-X5R(0805)CAP_0603_GEN";"CAPC1609X80";"302010178";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"0.1uF";"CERAMIC-1NF-50V-10%-X7R(0402)CAP_0402";"CAPC1005X50";"302010005";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"0.1uF";"CERAMIC-1NF-50V-10%-X7R(0402)CAP_0402";"CAPC1005X50";"302010005";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"0.1uF";"CERAMIC-1NF-50V-10%-X7R(0402)CAP_0402";"CAPC1005X50";"302010005";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"0.1uF";"CERAMIC-1NF-50V-10%-X7R(0402)CAP_0402";"CAPC1005X50";"302010005";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"1uF";"CERAMIC-1NF-50V-10%-X7R(0402)CAP_0402";"CAPC1005X50";"302010005";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"0.1uF";"CERAMIC-1NF-50V-10%-X7R(0402)CAP_0402";"CAPC1005X50";"302010005";"";"";"";"";"";"";"";"";"";"";"";"";
"C9";"0.1uF";"CERAMIC-1NF-50V-10%-X7R(0402)CAP_0402";"CAPC1005X50";"302010005";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";"0.1uF";"CERAMIC-1NF-50V-10%-X7R(0402)CAP_0402";"CAPC1005X50";"302010005";"";"";"";"";"";"";"";"";"";"";"";"";
"C11";"10nF";"CERAMIC-1NF-50V-10%-X7R(0402)CAP_0402";"CAPC1005X50";"302010005";"";"";"";"";"";"";"";"";"";"";"";"";
"C12";"10uF";"CERAMIC-1NF-50V-10%-X7R(0402)CAP_0402";"CAPC1005X50";"302010005";"";"";"";"";"";"";"";"";"";"";"";"";
"C13";"3.3uF";"CERAMIC-1NF-50V-10%-X7R(0402)CAP_0402";"CAPC1005X50";"302010005";"";"";"";"";"";"";"";"";"";"";"";"";
"C14";"10uF";"CERAMIC-1NF-50V-10%-X7R(0402)CAP_0402";"CAPC1005X50";"302010005";"";"";"";"";"";"";"";"";"";"";"";"";
"C15";"3.3uF";"CERAMIC-1NF-50V-10%-X7R(0402)CAP_0402";"CAPC1005X50";"302010005";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"ZENER_DIODE_PLZ5V1C";"ZENER_DIODE_PLZ5V1C";"DO-219AC";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D8";"BAV199";"BAV199";"SOT23";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";
"F1";"500mA";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"301010000";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"";"0R";
"GND";"TPTP13SQ";"TPTP13SQ";"TP13SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"H2";"HOLES_MOUNT-PAD-ROUND2.8";"HOLES_MOUNT-PAD-ROUND2.8";"HOLES_2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";
"H3";"HOLES_MOUNT-PAD-ROUND2.8";"HOLES_MOUNT-PAD-ROUND2.8";"HOLES_2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";
"INT";"TPTP06R";"TPTP06R";"TP06R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"CON-MOLEX-6P-1.25MM048";"CON-MOLEX-6P-1.25MM048";"53048-06";"CONNECTOR";"";"";"WALDOM/MOLEX";"";"53048-0610";"1012260";"38C9911";"";"";"";"";"";
"J2";"";"SEEED-RESISTOR_SMD-RES-1.5K-1%-1/10W(0603)DETAILED_MODEL";"SEEED-RESISTOR_R0603";"301010189";"";"";"";"";"";"";"";"";"";"";"";"";
"LED";"LED-RGB-COM_ANO0606";"LED-RGB-COM_ANO0606";"0606_LED";"Everlight Electronics Co Ltd EAST1616RGBB4 0606 RGB LED";"";"";"";"";"";"";"";"";"";"DIO-12140";"";"";
"MISO";"TPTP13SQ";"TPTP13SQ";"TP13SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"MOSI";"TPTP13SQ";"TPTP13SQ";"TP13SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"PT100";"CON-MOLEX-2P-1.27MM048";"CON-MOLEX-2P-1.27MM048";"53048-02";"CONNECTOR";"";"";"MOLEX";"";"53048-0210";"1012259";"57H4718";"";"";"";"";"";
"PZ+";"TPTP13SQ";"TPTP13SQ";"TP13SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"PZ1";"CON-MOLEX-2P-1.27MM048";"CON-MOLEX-2P-1.27MM048";"53048-02";"CONNECTOR";"";"";"MOLEX";"";"53048-0210";"1012259";"57H4718";"";"";"";"";"";
"R1";"1M";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"301010000";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"";"0R";
"R3";"10K";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"301010000";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"";"0R";
"R4";"1M";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"301010000";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"";"0R";
"R6";"";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"301010000";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"";"0R";
"R7";"10K";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"301010000";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"";"0R";
"R8";"";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"301010000";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"";"0R";
"R10";"10K";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"301010000";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"";"0R";
"R14";"1K";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"301010000";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"";"0R";
"R15";"100R";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"301010000";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"";"0R";
"R17";"10K";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"301010000";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"";"0R";
"R18";"10K";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"301010000";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"";"0R";
"R19";"2K2";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"301010000";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"";"0R";
"R20";"2K2";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"301010000";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"";"0R";
"R21";"100R";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"301010000";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"";"0R";
"R22";"100R";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"301010000";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"";"0R";
"RDY";"";"SEEED-LED_SMD-LED-CLEAR-BLUE(0603)LED_0603";"SEEED-LED_LED-0603";"304090045";"";"";"";"";"";"";"";"";"";"";"";"";
"RP1";"1K";"RESISTOR_NETWORK_X40804_L";"EXBN8V-L";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RST";"TPTP13SQ";"TPTP13SQ";"TP13SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"RST.";"TPTP13SQ";"TPTP13SQ";"TP13SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"RXD";"TPTP13SQ";"TPTP13SQ";"TP13SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"SCK";"TPTP13SQ";"TPTP13SQ";"TP13SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"SJ1";"";"SJM";"SJM";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";
"SS";"TPTP06R";"TPTP06R";"TP06R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"TP1";"TPTP09R";"TPTP09R";"TP09R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"TP2";"TPTP09R";"TPTP09R";"TP09R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"TXD";"TPTP13SQ";"TPTP13SQ";"TP13SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"L78L05ACU";"L78L05ACU";"SOT89";"5V Positive voltage regulator SMD SOT89 Package";"Unavailable";" Voltage regulator";" fixed";" 5V";" 0.1A";" SOT89";" SMD";" Package: reel, tape ";"STMicroelectronics";"L78L05ACU-TR";"";"";
"U3";"LM2902QT";"LM2902QT";"QFN16";"Low power quad operational amplifier";"";"";"";"";"";"";"";"";"";"";"";"";
"U4";"ATMEGA48/88/168/328PB";"ATMEGA48/88/168/328PB";"QFN50P500X500X90-33N";"AVR 32KBytes Flash, 1KBytes EEPROM, 2KBytes RAM, w - 20MHZ, QFN/MFL, IND TEMP, GREEN 5 V/ DFN/QFN (M)";"Unavailable";" AVR 32KBytes Flash, 1KBytes EEPROM, 2KBytes RAM, w - 20MHZ, QFN/MFL, IND TEMP, GREEN 5 V/ DFN/QFN _M_ ";"Microchip";"ATMEGA328PB-MU";"";"";"";"VFQFN-32 Microchip";"None";"";"";"";
"⏚";"TPTP13SQ";"TPTP13SQ";"TP13SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
