"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"VALUE";"VENDOR";
"2";"";"KK-156-2";"KK-156-2";"HE0, PWR";"KK 156 HEADER";"";"";"";"MOLEX";"";"";"unknown";"unknown";"";"";"";"";
"2";"";"LEDCHIP-LED0805";"CHIP-LED0805";"5V, 12V";"LED";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"SEEED-SWITCH_DIP-TOGGLE-SWITCH-2CH-(2X3P-2.54)DPDT_254_6P_UPDATE";"SEEED-SWITCH_SW6-2.54-9.0X3.5X3.2+2.0MM";"SW1";"311010004";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100R";"SMD-RES-2K-5%-1/8W(0805)";"R0805";"R5";"301010318";"";"";"";"";"";"RC0805JR-072KL";"";"";"";"";"2K";"";
"1";"10R";"SMD-RES-2K-5%-1/8W(0805)";"R0805";"R7";"301010318";"";"";"";"";"";"RC0805JR-072KL";"";"";"";"";"2K";"";
"1";"10uF";"SEEED-CAPACITOR_CERAMIC-10UF-25V-10%-X5R(0805)CAP_0805-3D";"CAPC2012X130";"C5";"302010178";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1K";"SEEED-RESISTOR_SMD-RES-1.5K-1%-1/10W(0603)DETAILED_MODEL";"SEEED-RESISTOR_R0603";"R4";"301010189";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1R";"SMD-RES-2K-5%-1/8W(0805)";"R0805";"R6";"301010318";"";"";"";"";"";"RC0805JR-072KL";"";"";"";"";"2K";"";
"1";"2.05K";"SEEED-RESISTOR_SMD-RES-1.5K-1%-1/10W(0603)DETAILED_MODEL";"SEEED-RESISTOR_R0603";"R3";"301010189";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"220uf";"DIP-ALUMINUM-100UF-16V(D5-H7MM)";"PC-D5.3MM";"C1, C2, C3, C4";"302030031";"";"";"";"";"";"KS 100uF/16V";"";"";"";"";"100uf";"";
"1";"240R";"SEEED-RESISTOR_SMD-RES-1.5K-1%-1/10W(0603)DETAILED_MODEL";"SEEED-RESISTOR_R0603";"R1";"301010189";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2N2222TO92";"2N2222TO92";"TO92";"Q1";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2N2907";"2N2907";"TO92";"Q2";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"715R";"SEEED-RESISTOR_SMD-RES-1.5K-1%-1/10W(0603)DETAILED_MODEL";"SEEED-RESISTOR_R0603";"R2";"301010189";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"C-GRID-02-70553";"C-GRID-02-70553";"70553-02";"FAN0, FAN1, TH0, Z_MIN";"CONNECTOR";"";"";"";"MOLEX";"";"";"unknown";"unknown";"";"";"";"";
"1";"C-GRID-04-70553";"C-GRID-04-70553";"70553-04";"E0";"CONNECTOR";"";"";"";"MOLEX";"";"";"unknown";"unknown";"";"";"";"";
"4";"HOLES_MOUNT-PAD-ROUND3.2";"HOLES_MOUNT-PAD-ROUND3.2";"HOLES_3,2-PAD";"H1, H2, H3, H4";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"L78L05ACU";"L78L05ACU";"SOT89";"U2";"5V Positive voltage regulator SMD SOT89 Package";"Unavailable";" Voltage regulator";" fixed";" 5V";" 0.1A";" SOT89";" SMD";" Package: reel, tape ";"";"STMicroelectronics";"L78L05ACU-TR";"";
"1";"LM317DCY";"LM317DCY";"SOT230P700X180-4N";"U1";"IC ADJ LINEAR REG 1.25V TO 37V";"Unavailable";" IC Regulator LM317/SOT223/LM317DCY TEXAS INSTRUMENT RoHS Ampere=1.5 SOT223 ";"";"Texas Instruments";"LM317DCY";"";"";"";"SOT-223-4 Texas Instruments";"None";"";"";
"1";"SFW24R-1STE1LF";"SFW24R-1STE1LF";"CON24_1X24_DRB_SFW";"J1";"";"";"";"SFW24R1STE1LF";"";"";"";"";"";"";"";"";"FCI";
