"Qty";"Value";"Device";"Package";"Parts";"Description";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"TP_SIGNAL_NAME";"VALUE";"VENDOR";
"7";"";"SEEED-LED_SMD-LED-CLEAR-BLUE(0603)LED_0603";"SEEED-LED_LED-0603";"D2, D3, D4, D5, ERR, PWR, TRG";"304090045";"";"";"";"";"";"";"";"";
"1";"";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R6";"301010000";"";"";"RC0402JR-070RL";"";"";"";"0R";"";
"2";"0.1uF";"CERAMIC-1NF-50V-10%-X7R(0402)CAP_0402";"CAPC1005X50";"C1, C2";"302010005";"";"";"";"";"";"";"";"";
"1";"0R";"SEEED-RESISTOR_SMD-RES-1.5K-1%-1/10W(0603)DETAILED_MODEL";"SEEED-RESISTOR_R0603";"R14";"301010189";"";"";"";"";"";"";"";"";
"1";"100R";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R13";"301010000";"";"";"RC0402JR-070RL";"";"";"";"0R";"";
"3";"10K";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R2, R4, R10";"301010000";"";"";"RC0402JR-070RL";"";"";"";"0R";"";
"2";"1K";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R3, R8";"301010000";"";"";"RC0402JR-070RL";"";"";"";"0R";"";
"2";"1M";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R1, R19";"301010000";"";"";"RC0402JR-070RL";"";"";"";"0R";"";
"1";"1N4148DFN-1006-2";"1N4148DFN-1006-2";"DIOC1006X70";"D1";"DIODE";"";"";"";"";"";"";"";"";
"1";"1uF";"SEEED-CAPACITOR_CERAMIC-10UF-25V-10%-X5R(0805)CAP_0603_GEN";"CAPC1609X80";"C3";"302010178";"";"";"";"";"";"";"";"";
"2";"220R";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R7, R11";"301010000";"";"";"RC0402JR-070RL";"";"";"";"0R";"";
"1";"3.3K";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R17";"301010000";"";"";"RC0402JR-070RL";"";"";"";"0R";"";
"2";"330R";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R5, R12";"301010000";"";"";"RC0402JR-070RL";"";"";"";"0R";"";
"1";"470R";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R9";"301010000";"";"";"RC0402JR-070RL";"";"";"";"0R";"";
"1";"680R";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R15";"301010000";"";"";"RC0402JR-070RL";"";"";"";"0R";"";
"1";"ATMEGA48PA-MMHR28M1-L";"ATMEGA48PA-MMHR28M1-L";"28M1-L";"U1";"";"ATMEGA48PAMMHR";"";"";"";"";"";"";"Atmel";
"1";"BAV199";"BAV199";"SOT23";"D8";"DIODE";"";"";"";"";"";"";"";"";
"1";"C-GRID-04-70553";"C-GRID-04-70553";"70553-04";"E0";"CONNECTOR";"";"MOLEX";"";"unknown";"unknown";"";"";"";
"4";"CON-MOLEX-2P-1.27MM048";"CON-MOLEX-2P-1.27MM048";"53048-02";"FAN0, FAN1, PZ1, TH0";"CONNECTOR";"";"MOLEX";"53048-0210";"1012259";"57H4718";"";"";"";
"3";"HOLES_MOUNT-PAD-ROUND2.8";"HOLES_MOUNT-PAD-ROUND2.8";"HOLES_2,8-PAD";"H1, H2, H3";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";
"1";"JST-2.54-2X2JST-DUPONT-2.54-2X2";"JST-2.54-2X2JST-DUPONT-2.54-2X2";"HDRRAR4W64P254_2X2_556X736X556B";"HE0";"";"";"";"";"";"";"";"";"";
"1";"LM358PWRDFN-8";"LM358PWRDFN-8";"SON50P200X200X60-9N";"U3";"";"";"";"";"";"";"";"";"";
"1";"MCP6001T-I/OTSOT-23-5_MC-L";"MCP6001T-I/OTSOT-23-5_MC-L";"SOT-23-5_MC-L";"U2";"";"MCP6001TIOT";"";"";"";"";"";"";"Microchip";
"1";"SFW24R-1STE1LF";"SFW24R-1STE1LF";"CON24_1X24_DRB_SFW";"J1";"";"SFW24R1STE1LF";"";"";"";"";"";"";"FCI";
"2";"TPTP06R";"TPTP06R";"TP06R";"INT, SS";"Test pad";"";"";"";"";"";"";"";"";
"3";"TPTP10R";"TPTP10R";"TP10R";"ADJ+, ADJ-, A_OUT";"Test pad";"";"";"";"";"";"";"";"";
"13";"TPTP13SQ";"TPTP13SQ";"TP13SQ";"+5V, 5V, GND, MISO, MOSI, RST, RST., RXD, SCK, SCL, SDA, TXD, ⏚";"Test pad";"";"";"";"";"";"";"";"";
