Qty,References,Value,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK
1,PWR,GREEN,LED0805,LED SMD 0805,,,,
1,TRIG,BLUE,LED0805,LED SMD 0805,,,,
6,"C1, C2, C4, C17, C18, C19",0.1uF,C0805,,,,,
3,"R10, R12, R17",100R,R0805,,,,,
5,"R5, R6, R9, R15, R16",10K,R0805,,,,,
1,C20,10nF,C0805,,,,,
2,"C21, C23",10uF,C0805,,,,,
5,"R1, R3, R4, R7, R11",1K,R0805,,,,,
2,"R2, R8",1M,R0805,,,,,
1,C16,1uF,C0805,,,,,
2,"R13, R14",2K2,R0805,,,,,
2,"C22, C24",3.3uF,C0805,,,,,
1,R19,4K7,R0805,,,,,
1,D1,BAV99,SOT23,DIODE,,,,
2,"PT1, PZ",C-GRID-02-70553,70553-02,CONNECTOR,MOLEX,,,
1,U1,LM2902D,SO14,Low power quad operational amplifier,,,,
1,J1,PP-STANDALONE-HEADER,Dupont 2.54mm 2x6 RA,,,,,
